subj_id,tta,d,loss,alpha,tta_crit,beta,d_crit,noise,b_0,k,tta_crit,nondectime,halfwidth
129,4.0,90.0,0.12060012514168424,0.966723371282472,4.570939596840261,0.04531903136533976,125.37210480470571,1,1.22813409394097,0.2350089410951211,4.570939596840261,0.3238498173661089,0.22371000494671045
129,4.0,150.0,0.1202950566965563,0.9634529017820195,5.282716126267133,0.04554467733882748,109.92576219739335,1,1.3093383638020324,0.21478742825304878,5.282716126267133,0.3273827761409423,0.21606082527229192
129,4.0,120.0,0.12074498916395583,0.9855612120110635,3.8220747837357636,0.045778181363248786,142.37463463197264,1,1.0916187002363993,0.2304925049226769,3.8220747837357636,0.33850055810923735,0.22656227784707283
129,5.0,90.0,0.12079058193576575,0.9862076239991857,5.6343084063409385,0.04557126828989986,102.59285068868071,1,1.331486159329966,0.19936492255399638,5.6343084063409385,0.33842609908693166,0.2375328657427948
129,5.0,150.0,0.12055692937212148,0.9742474864747367,5.740004160935413,0.04548633007613704,99.94697663995318,1,1.3557331266520776,0.19447170368433533,5.740004160935413,0.33418500354263564,0.22804846914955845
129,5.0,120.0,0.1205865041650513,0.9752295760197287,5.504431016475694,0.045329528448668825,104.92928251713978,1,1.3514041805994932,0.21627992676923719,5.504431016475694,0.3274276807690351,0.22786523695773842
129,6.0,90.0,0.12144715181146228,0.9871327527610528,4.132786877304183,0.04604046600671955,135.8403446337671,1,1.1006095049716884,0.2367571492501663,4.132786877304183,0.34951762631473704,0.2382916296703556
129,6.0,150.0,0.12095938098328278,0.9854982557661873,3.7523908887880797,0.044903375457000475,144.1320284281242,1,1.078794236075306,0.2822965824364408,3.7523908887880797,0.3268975087949824,0.22046906440855513
129,6.0,120.0,0.1207585220854928,0.9530843877895434,5.226822915539053,0.046228845345457674,111.02357211913018,1,1.3058113906392759,0.18690665765250727,5.226822915539053,0.32677913492699656,0.22067804952707404
389,4.0,90.0,0.12063542407669432,0.9968391247456447,5.790903100837924,0.04487051995341868,98.86778184268125,1,1.3863629195230138,0.2311301197975044,5.790903100837924,0.3317750828700365,0.22642480090420786
389,4.0,150.0,0.12055847581645657,0.9833093001799074,5.13537286049082,0.04544701164895844,113.37542091220166,1,1.2779049155351587,0.2070144904304307,5.13537286049082,0.3313446098465805,0.22450718931437175
389,4.0,120.0,0.12078972680502967,0.9703050356958012,4.327703384543412,0.0455107268520775,130.83788621315134,1,1.1823323817762574,0.2333873345418464,4.327703384543412,0.3253172221419906,0.2226362047267535
