tta_condition,d_condition,is_turn_decision,RT,subj_id
4.0,90.0,0.06420101558918698,0.6287723073790469,129.0
4.0,150.0,0.34916629106258196,0.6778555940788924,129.0
4.0,120.0,0.16500614165355515,0.6595485510160403,129.0
5.0,90.0,0.1715819336196867,0.8354233920608996,129.0
5.0,150.0,0.7049303303028069,0.8330934883891215,129.0
5.0,120.0,0.4104210443975462,0.8549233921345123,129.0
6.0,90.0,0.5598110029972904,0.9743428617290824,129.0
6.0,150.0,0.9729997853390198,0.7968673286194333,129.0
6.0,120.0,0.8464155363930003,0.9087893918505119,129.0
4.0,90.0,0.01855085294414732,0.5665519529027256,389.0
4.0,150.0,0.45592630762970626,0.6262684846935429,389.0
4.0,120.0,0.11489160307145878,0.5986324594119145,389.0
5.0,90.0,0.05413170377421716,0.5938786229792311,389.0
5.0,150.0,0.7635919715889935,0.6365248255025727,389.0
5.0,120.0,0.29351736289734953,0.6336441801814355,389.0
6.0,90.0,0.15588374197764343,0.6335914954448718,389.0
6.0,150.0,0.9432469813337468,0.6168460197869821,389.0
6.0,120.0,0.6030478353582297,0.6620502923572948,389.0
4.0,90.0,0.16346407482576766,0.38786217927355615,525.0
4.0,150.0,0.5143625890070453,0.4006668684137124,525.0
4.0,120.0,0.3121360586905483,0.3966712411179038,525.0
5.0,90.0,0.3645553753652506,0.4067294673805728,525.0
5.0,150.0,0.7794561995818768,0.4016759626620776,525.0
5.0,120.0,0.5849593274477307,0.4088503038465452,525.0
6.0,90.0,0.6564053019010171,0.41334063135685745,525.0
6.0,150.0,0.9291763357600458,0.38815994139715715,525.0
6.0,120.0,0.8326611349990595,0.40245274877280696,525.0
4.0,90.0,0.009388604425633863,0.568790365404445,616.0
4.0,150.0,0.22344675286254148,0.6254259409221538,616.0
4.0,120.0,0.05158180779672311,0.5948049908613943,616.0
5.0,90.0,0.02671872017887804,0.6074051921796269,616.0
5.0,150.0,0.5381278949073972,0.6757997156044888,616.0
5.0,120.0,0.1553385608532984,0.6489772428657351,616.0
6.0,90.0,0.09669707424526625,0.6703439331876448,616.0
6.0,150.0,0.891011161696823,0.686731144682801,616.0
6.0,120.0,0.453022741770862,0.7148512374024772,616.0
4.0,90.0,0.046297632279701795,0.47337252806415914,618.0
4.0,150.0,0.4061782700030565,0.5460861264395388,618.0
4.0,120.0,0.16002227625082185,0.5196618044496514,618.0
5.0,90.0,0.13012956594367528,0.6119070129262689,618.0
5.0,150.0,0.7396891607948034,0.6289449538170037,618.0
5.0,120.0,0.3903674095637228,0.6490304710302122,618.0
6.0,90.0,0.3733328953052176,0.7570142531369178,618.0
6.0,150.0,0.9616765784809732,0.6117795892923028,618.0
6.0,120.0,0.7555134930031979,0.7264443407256208,618.0
4.0,90.0,0.053448865836734395,0.5521681724878664,642.0
4.0,150.0,0.6105076648768427,0.6204270023853722,642.0
4.0,120.0,0.23301226971482777,0.6046961132298351,642.0
5.0,90.0,0.061743236897890304,0.6214586591349883,642.0
5.0,150.0,0.7470455441056062,0.6862632175059908,642.0
5.0,120.0,0.3042085779355883,0.6899340169746863,642.0
6.0,90.0,0.08492968040230689,0.6984301681075895,642.0
6.0,150.0,0.8718489548028164,0.7240876443774874,642.0
6.0,120.0,0.42109504633871686,0.7731492616679035,642.0
4.0,90.0,0.14660271560711957,0.4941785664763143,755.0
4.0,150.0,0.7498047834796281,0.5056766574720258,755.0
4.0,120.0,0.4142362039604112,0.5127423461578562,755.0
5.0,90.0,0.14427310577536087,0.5508352584760055,755.0
5.0,150.0,0.8626756273274181,0.5517651718534176,755.0
5.0,120.0,0.493742784772263,0.5800042118376314,755.0
6.0,90.0,0.1665220693659782,0.6186777041738554,755.0
6.0,150.0,0.9434866871539801,0.5823914322838158,755.0
6.0,120.0,0.6138287545260013,0.6505670419996503,755.0
