subj_id,tta_condition,d_condition,n,loss,alpha,beta,theta,b_0,k,tta_crit,ndt_location,ndt_scale
969,NA,NA,0,0.06022316373091964,4.987284703571294,0.14745531404954693,22.437321336472888,0.5539621673858374,1.9951515767933052,5.061533827222805,0.41613126928718014,0.09950430367938626
969,NA,NA,1,0.060286808808290675,4.914605592270236,0.1517099960048068,22.947675710792733,0.5341584741054053,1.9812653253513421,5.045685628469693,0.4172591085244516,0.09978619389889341
969,NA,NA,2,0.09170248702750074,4.976996124788317,0.35878921540639613,47.14006556563771,0.6674213566095631,1.9873527526781365,4.581510612627351,0.4177635165175483,0.1016913896866594
969,NA,NA,3,0.05979815481852682,4.983202967710519,0.15668975950919775,23.55974470046845,0.5139652326363608,1.9908501147522821,5.0664853006638895,0.41934626540289377,0.10016549792708535
969,NA,NA,4,0.060328552493060544,4.897520000171281,0.15219534738682683,22.99880247863296,0.5506396092414063,1.9959091121435535,5.055815299787527,0.41650799257533005,0.09951709059061543
969,NA,NA,5,0.060277851839789474,4.987722102083103,0.14788691731201856,22.49447909361366,0.537707763301986,1.9754211021721872,5.0522167927894355,0.4170507461213636,0.09986290142625776
969,NA,NA,6,0.09181778820930628,4.986873345594291,0.3439858563087289,45.47006688721355,0.634328575062022,1.9849489276136996,4.661077142179669,0.41899471869643407,0.10230991265582176
969,NA,NA,7,0.09238905757411368,4.960415102745358,0.39345673197324477,51.26441535965027,0.6476117866534441,1.9786531793672855,4.565552451480455,0.4194346753233168,0.10209705024087187
969,NA,NA,8,0.060232492930439085,4.979439977814524,0.15499253465376828,23.35098565269416,0.5181393712522584,1.997659529577275,5.067906642945059,0.41999262264123605,0.10149249500707308
969,NA,NA,9,0.06035835428096128,4.980987002889565,0.15963926894359026,23.913169432606246,0.5334425767503435,1.9851821462062005,5.098678710485233,0.4180238714371404,0.09944136449177532
