subj_id,tta_condition,d_condition,loss,alpha,beta,theta,b,ndt_location,ndt_scale
129,NA,NA,0.5748419117124919,0.9267605522584854,0.028465275966387583,7.595510885368656,0.945070774822931,0.3029037135908737,0.051457076025426055
280,NA,NA,0.8505229301113665,3.1217764981519016,0.36431731388801,58.09082711416852,0.40413837669075514,0.5636409577966952,0.10029919431118003
389,NA,NA,0.2601289156451467,4.80995813828334,0.054060746377776685,12.164963146056733,0.13233154182177254,0.5543928589982196,0.14278152024385138
421,NA,NA,0.4378787516380664,0.19035448243833966,0.20655571270839304,28.44889006528973,0.5745902731901216,0.23828543289692314,0.04864270930987296
525,NA,NA,1.6040120243167308,2.907553710861607,0.5728566007758061,55.23249282084326,0.47036271539013885,0.1280551137531297,0.3
616,NA,NA,0.2214586373994109,1.5057406173161396,0.04581191659738553,11.212193527996352,0.5369851807183013,0.42817948133868017,0.08675412411457656
618,NA,NA,0.6001923319569761,0.8730322574632168,0.04095131048998587,9.083169277320206,0.9595691941307403,0.1482132753205022,0.061816257596523067
642,NA,NA,0.5496138118727358,0.5921601786342482,0.1378701173162469,22.73062928901539,0.3930851897032439,0.4794008939950373,0.23388712406518458
652,NA,NA,0.6346758840108361,1.56139101821063,0.014572965926991437,6.9890213025261785,0.7044172912589239,0.5788437328767949,0.13215337237818126
755,NA,NA,0.5858604639687629,1.4080516912574754,0.16745274922573855,24.787423426601443,0.12711628423882138,0.4893496373275837,0.14405789324631885
776,NA,NA,1.9719602311374713,3.8583452134154497,0.6209446016399164,58.306762689025305,1.737315540195713,0.37204297328741176,0.3
827,NA,NA,0.7344185529412484,5.0,0.021959782101433834,6.83258370686211,0.17924963532083638,0.4512359070742132,0.1781377009731962
853,NA,NA,0.27101668930692563,0.6377054306292308,0.12275081170766758,22.1975840281957,0.4952483776216017,0.39995007305635055,0.012240538142239219
913,NA,NA,3.2094342953501185,1.5226493154180794,0.6172064278063777,53.751668618387455,3.1956585112692353,0.1285364428005414,0.3
969,NA,NA,0.24045390635268155,2.097187911441887,0.4677140447876453,59.87327726951326,0.30959044308979955,0.4238174786395196,0.10155211171631061
996,NA,NA,1.004086263445935,3.671238688442934,0.02299514850995853,7.021232534600951,0.19056716153024222,0.44589115301979687,0.15322747160261327
all,NA,NA,0.09460701106902643,1.0923839131882833,0.04676671292776632,10.417426301965769,0.4665968739341544,0.39438214202846883,0.0737428120608648
